,Close,High,Open,Low
115,1505.0816232029674,1512.8631957446466,1495.9857837621769,1488.1796646281746
116,1507.1754425965753,1519.6080701834535,1505.0319481306637,1494.5400928206104
117,1508.5524174111113,1520.504337633227,1506.583384341935,1495.685135924491
118,1509.8364662151089,1521.9872077828209,1507.9243925645526,1497.0244467223492
119,1511.06061402768,1523.229759763765,1509.2111831368154,1498.2284106480433
120,1512.2231544111219,1524.4515045963378,1510.4309448629454,1499.3896263471415
121,1513.3283250634258,1525.6026964851123,1511.5910674182655,1500.4891521422992
122,1514.3786781857616,1526.699308109489,1512.6935105777616,1501.5352174340892
123,1515.3770012895084,1527.740979245019,1513.7413768556273,1502.5292005390029
124,1516.3258548913968,1528.731184920896,1514.737310421053,1503.473994186234
125,1517.2276944673197,1529.6722902997815,1515.683899249718,1504.3719590083633
126,1518.0848484641583,1530.5667736779649,1516.5835847063847,1505.2254341639718
127,1518.8995312734244,1531.4169339788239,1517.4386917027805,1506.036619452068
128,1519.6738472419088,1532.2249701128649,1518.2514288443642,1506.807611435158
129,1520.4097965273118,1532.9929686229734,1519.0238955744894,1507.5404013776424
130,1521.109280161729,1533.7229135041105,1519.7580872440014,1508.236882226126
131,1521.7741049875563,1534.4166902400473,1520.4559003522722,1508.8988530479578
132,1522.405988318535,1535.076090941056,1521.1191374247348,1509.5280237892293
133,1523.006562377285,1535.7028189074701,1521.7495116742384,1510.1260196645344
134,1523.5773785111373,1536.2984930456155,1522.3486514251736,1510.6943853617518
135,1524.119911199523,1536.8646520456628,1522.9181043199271,1511.2345890305041
136,1524.6355618626878,1537.4027583571994,1523.4593413165308,1511.7480260749471
137,1525.1256624817192,1537.9142019666565,1523.97376048832,1512.2360227581476
138,1525.5914790391942,1538.400303987851,1524.4626906353078,1512.699839627991
139,1526.0342147893477,1538.8623200745512,1524.9273947166162,1513.1406747733054
140,1526.4550133662094,1539.3014436639687,1525.3690731128345,1513.559666918653
141,1526.8549617377323,1539.7188090595325,1525.7888667267334,1513.9578983657793
142,1527.2350930135478,1540.1154943609201,1526.1878599303388,1514.3363977893168
